file,has_declaration,declaration_excerpt,availability_section_found,dataset_candidates,time_mentions,sources_mentions,urls,needs_review,error
310_README.pdf,False,,False,Data | TIM_2021_28102022203824270.xlsx | TIVA_2021_C1_28102022204502319.xlsx | _CO2_Emissions_Emission_Intensities_and_Emission_Multipliers.xlsx | gdp.dta | Prospects_database.dta | co2-intensity.zip | Statistical Review of World Energy Data.xlsx | OGHIST.xlsx | PG_classifications.xlsx | Aggregate_sectors.xlsx,December 2022 | July 2025 | June 2023 | 2021 | 2022 | 2025 | 2023,"OECD | oecd | IMF | imf | World Development Indicators | WDI | World
Bank | World Bank",https://www.oecd.org/en/data/datasets/trade-in-employment.html | https://www.oecd.org/en/topics/sub-issues/trade-in-value-added.html | https://climatedata.imf.org/datasets/7cec1228bfbe4a5e876ca5a5abedd64f_0/about | https://data.worldbank.org/indicator/NY.GDP.PCAP.CD | https://www.worldbank.org/en/research/publication/global-productivity | https://ourworldindata.org/grapher/co2-intensity | https://www.energyinst.org/statisticalreview/resources-and-data-downloads | https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bankcountry-and-lending-groups,False,
93_README.pdf,False,,False,Insights from a Retrospective Series Analysis | using SCM1_LIC_GDPpc.dta | SCM1_LIC_LIGHT.dta | SCM1_LIC_MANUF.dta | and SCM1_LIC_HAI.dta,1992 to 2013 | 2014 to 2021 | 2023 | 2022 | 2017 | 2019 | 1992 | 2013 | 2014 | 2021 | 2010 | 2009,"World Bank | World Development
Indicators | WDI",https://databank.worldbank.org/source/world-development-indicators | https://ferdi.fr/en/indicators/human-assets-index-hai | https://payneinstitute.mines.edu/eog/,False,
78_README.pdf,False,,False,It also includes an .xlsx | GDP.dta,2023 | 2017 | 2050 | 2022,World Development Indicators | WDI,,False,
267_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and
permission to use the data used in this manuscript.",True,list | Name | fcv.xlsx | master_fig07.xlsx | master_species_x_country202407-22.dta | fig_01_species_info_by.csv | master_data_for.xlsx | disputed_species_all_summary.csv | fcv_species_all_summary.csv | joint_species_all_summary.csv | global_species_all_summary.dta | tbl01_pop_and_area_and.R  tbl01_sensitive_groups_pop.csv | Tbl02_groups_species_counts.csv | Tbl03_species_by_treaties.csv,2020 | 2024,"World Bank | World
Bank",,False,
12_README.pdf,False,,True,"instruments | used in the main analysis, collected in enumerator clinic visits (6 per | entry and exit interviews with patients at the clinic | home follow-up with subset of patients | Instruments | instruments used for primary data collection | 1. LSS_analysis_datasets_2020_11_08.dta | 2. LSS_CSComCensus.dta | 3. LSS_DoctorEndlineInterview.dta",January 2021 | 2021 | May  2016 | December 2016 | January 2017 | 2016 | 2017 | 2019 | 2012 | 2008,,"https://doi.org/10.7910/DVN/CLGN7Z | https://www.stata.com/products/compatible-operatingsystems/, | https://doi.org/10.7910/DVN/CLGN7Z.",False,
282_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and permission to use the data used
in this manuscript.",True,page | pillar  - Year - | score | scores | of Public Servants | Statement about Rights | on organizational | db_variables.xlsx | dynamic_ctf_032525.dta | Custom Download pick the .dta | static_ctf_032525.dta | static_ctf_012225.dta | client_countries.csv | CLASS.xlsx | country_risk_index.xlsx,2018-2022 | May 2025 | March 2025 | January 2025 | February 2025 | October 2024 | November 2024 | 2025 | 2024 | 2018 | 2022 | 2019,"World  Bank | World Bank | World bank | WDI | World
Bank",https://datanalytics-int.worldbank.org/CLIAR/ | https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-andlending-groups | https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-countryand-lending-groups | https://databank.worldbank.org/source/world-development-indicators | https://www.worldbank.org/en/programs/boost-portal/boost-data-lab | https://www.globalsurveyofpublicservants.org/sites/default/files/202311/GSPS_Indicators_Dataset_11_10_23.xlsx | https://datacatalogfiles.worldbank.org/ddhpublished/0037889/DR0065450/WBG_GovTech%20Dataset_Dec2020.xlsx | https://w0lxdrconn01.worldbank.org/CLIAR/ | https://datahelpdesk.worldbank.org/knowledgebase/a | https://databank.worldbank.org/source/worlddevelopment-indicators | https://www.globalsurveyofpublicservants.org/sites/de | https://datacatalogfiles.worldbank.org/ddhpublished/0037889/DR0065450/WBG_GovTech20Data,False,
232_README.pdf,False,,True,"adm2_name | stored in a specific sheet as follows | for humanitarian aid presence, offering insights into potential IPC phases without aid | obtained from Python (AFG Stata Analysis Final | as time series | based on | which now has | is then used to create two side-byside subplots | 1.  Ensure you have the file AFG Data.xlsx | where AFG Stata Analysis Final.xlsx | Stata Analysis Result-09-27.csv | All the datasets used in this analysis are manually added to the AFG Data.xlsx | AFG Data for Maps and Tables.xlsx | stored in AFG Final Cleaned Data.xlsx | Stata Analysis Final.xlsx","January
2024 | 2024 | 2009 to 2023 | 2021-2022 | January 2024 | July 2009 | December 2023 | 2020 | 2023 | 2009 | 2012 | 2021 | 2022",World Bank,"https://datacatalog.worldbank.org/int/search/dataset/0064614/harmonized-subnational-food-security-data. | https://microdatalib.worldbank.org/index.php/catalog/12415; | https://microdata.worldbank.org/index.php/catalog/4484. | https://data.humdata.org/dataset/afg-ndvi-subnational, | https://data.humdata.org/dataset/afgrainfall-subnational, | https://data.humdata.org/dataset/cod-ab-afg. | https://microdatalib.worldbank.org/index.php/catalog/14848; | https://microdatalib.worldbank.org/index.php/catalog/14847. | https://www.worldbank.org/en/research/commodity-markets. | https://microdata.worldbank.org/index.php/catalog/3811. | https://github.com/TosinSDGs/AFG-ClimateAnalysis",False,
112_README.pdf,False,,False,data | data in 12 middle-income countries | data description and a sample questionnaire | using Datalibweb | Figure A4 | GMD_input.dta | Population char data.dta | allrawdata_weight.dta | classification.dta | Bolivia_eng.xlsx | Ecuador_eng.xlsx | Egypt_eng.xlsx | Indonesia_eng.xlsx | Vietnam_eng.xlsx | Angola_eng.xlsx,2023 | 2022 | 2021,"WDI | World Bank | World Development Indicators | World
Bank | International Monetary Fund | imf | IMF",http://hdl.handle.net/10986/406 | https://www.iea.org/data-and-statistics/data-product/fossilfuel-subsidies-database. | https://databank.worldbank.org/source/worlddevelopment-indicators. | https://www.imf.org/-/media/Files/Topics/energysubsidies/,False,
110_README.pdf,False,,True,"should be placed here | data | data for Nigeria, using four | locations, such as from satellites, OpenStreetMaps, and Facebook Marketing data | that ends in shp.zip | the data downloaded and unzipped from kenya-210101free.shp.zip",1992 to 2015 | 2016 to 2018 | 2024 | 2020 | 1992 | 2015 | 2016 | 2018,World Bank,,False,
130_README.pdf,False,,False,of CO2 emissions provided by Our World In Data | Lall_Rajan_Schoder_2004_Table_3.xlsx | Lall_Rajan_Schoder_2004_Annex_Table_A.xlsx | Lall_Rajan_Schoder_2004_Annex_Table_B.xlsx | Lall_Rajan_Schoder_2004_Annex_Table_C.xlsx | Lall_Rajan_Schoder_2004_Annex_Table_D.xlsx | owid-co2-data.csv | WDIData.csv | Mean_pr_tmp.xlsx | country-coord.csv | Carbon content.xlsx,2022 | 2021 | 2010,"World Development Indicators | World Bank | United
Nations",https://ourworldindata.org/co2-emissions | https://databank.worldbank.org/source/world-development-indicators | https://climateknowledgeportal.worldbank.org/sub-page-types/country-summary/climate-datahistorical-1 | https://gist.github.com/metal3d/5b925077e66194551df949de64e910f6 | https://www.fao.org/forest-resources-assessment/past-assessments/fra-2010/en/,False,
167_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and permission to
use the data used in this manuscript.",True,in Pakistan | in Pakistan conducted | Data | data.dta,December 2021 | February 2022 | 2021 | 2022,World Bank | statistics and,https://microdata.worldbank.org/index.php/terms-of-use | https://microdata.worldbank.org/index.php/terms-of-use.,False,
171_README.pdf,False,,False,"2. Join PIAAC, STEP and other data | : Go to | is created from the replication package of | Data | based | please contact Piotr Lewandowski | combined_piaac.dta | combined_step.dta | joint_sample.dta | piaac_and_step_employed_fdilit.dta | dataset.dta",2021 and 2023 | 2021 | 2023 | 2024 | 1995 | 2018 | 2022 | 2020,WDI,,False,
254_README.pdf,False,,True,in the data availability statement of this document | baseline dataset1 | in the Data/raw data subfolder | endline dataset2 | please locate the .dta | Baseline raw database.dta | Endline raw database.dta,2015-2018 | 2025 | 2015 | 2018,World Bank,,False,
285_README.pdf,True,"I certify that the authors of the manuscript have legitimate access to and permission to use
the data used in this manuscript.",True,"that | data that may not be available for every year | containing  the  2011  PPPs,  2017  PPPs,  and  2021 | containing yearly CPI values, using Datalibweb as the | of  national  poverty  rates  sanctioned  by | is created as follows | of harmonized national poverty lines | data in PIP | data  in  PIP,  mostly  historical  data | data  in  PIP  in  the  June  2025  PIP  update  (as  well  as  changes  in | of global poverty lines | of harmonized national | in Figure C9 | may vary depending on the download date, as it is regularly | have data for the preceding year","March 2025 | 2025 | 2017 and 2021 | 2017 and
2021 | 1990 to 2030 | 1990 and 2025 | 2017  and  2021 | 2017
and 2021 | 1990 - 2030 | 2017 to 2021 | 2011-2023 | 1987-2023 | 2011-2022 | 1990-2050 | 1963-2023","pip | PIP | World
Bank | World Development Indicators | World Bank | Poverty  and  Inequality  Platform | World  Development  Indicators | WDI | Eurostat | OECD | EUROSTAT | Ministry of Health | Poverty and Inequality Platform | IMF | imf",https://hdr.undp.org/sites/default/files/publications/additional-files/2024 | https://github.com/GPID-WB/Class | https://www.imf.org/en/Publications/WP/Issues/2019/07/26/Price-Statistics | https://ec.europa.eu/eurostat/databrowser/view/tps00184/default/table?lang=en | https://reproducibility.worldbank.org/index.php/catalog/189#project_desc_container167484 | https://datacatalog.worldbank.org/search/dataset/0064304/1000_binned_global_distribution | https://datacatalog.worldbank.org/data/dataset/0066850/harmonized_national_poverty_line | https://www.worldbank.org/en/topic/poverty/publication/povertyand-equity-briefs | https://databank.worldbank.org/source/wdi-database-archives | https://datacatalog.worldbank.org/data/dataset/0066852/national_poverty_rates_including_ | https://www.worldbank.org/en/topic/poverty/publication/poverty-and-equity-briefs | https://stats.oecd.org/Index.aspx?DataSetCode=IDD | https://datalibweb2.worldbank.org/home | https://worldbankgroup.sharepoint.com/sites/WBPoverty/SitePages/PublishingPages/Poverty | https://datacatalog.worldbank.org/int/data/dataset/0066851/Price-indices-used-for | https://www.stats.gov.cn/sj/ndsj/2023/indexeh.htm. | https://labourbureau.gov.in/all-india-general-index. | https://labourbureau.gov.in/cpi-al-rl | https://labourbureau.gov.in/all-india-general-index-1 | https://labourbureau.gov.in/centre-index,False,
95_README.pdf,False,,True,"held by the Uruguayan tax authority | B) (Medina and Schneider, 2018) | data from the Uruguay National Institute of Statistics (INE) | B) (National Institute of Statistics, 2005-2006) | containing | Main Paper | CI requires manual edit described in the readme) AI | WDI_gdp_pc.csv | data_informality.dta",2009-2016 | 2011 and 2017 | 2005-2006 | 2015-2017 | March 2020 | 2009 | 2016 | 2020 | 2013 | 2011 | 2017 | 2019 | 2015 | 2018 | 2005,World Bank | Ministry of Finance | World Development Indicators | IMF | imf,"https://www.annebrockmeyer.com/uploads/1/2/1/4/121485108/costa_rica_paper_2022 | https://www.worldbank.org/en/publication/globalfindex/Data | https://databank.worldbank.org/source/world-development-indicators, | https://www.imf.org/en/Publications/WP/Issues/2018/01/25/Shadow-EconomiesAround-the-World-What-Did-We-Learn-Over-the-Last-20-Years-45583 | https://docs.google.com/forms/d/e/1FAIpQLSdJqJG3gH2ykI_woUf8Xx4hl47bI_HJTDFM3QZSeNkTM9-Pw/viewform?embedded=true | https://cienciassociales.edu.uy/departamento-deeconomia/investigacion/encuesta-financiera-de-los-hogares-uruguayos/ | https://www4.ine.gub.uy/Anda5/index.php/catalog/42, | https://www.bcra.gob.ar/PublicacionesEstadisticas/Cuadros_estandarizados_series_estadi",False,
271_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and permission to use the data

used in this manuscript.",True,"includes multiple rounds of data collection, covering both treatment and control groups | for eligible applicants | and caregiver survey | AND RESPONDENT",2014 and 2015 | 2014-2015 | 2016-2017 | 2014 | 2015 | 2016 | 2017 | 2022,"World Bank | World
Bank",,False,
159_README.pdf,False,,True,"can be directly | API URL | FEWS NET | can be accessed through the | can be accessed through | from individual datasets | based on all datasets | option | group all possible indicator options | per indicator group, | options | group food prices | group fuel prices | group exchange rate | group displacements","2004 and 2009 | April
2024 | February 2024 | July
2023 | June 2023 | July 2023 | December 2022 | December
2022 | January
2022 | January 2022 | Dec 2020 | Nov 2019 | May
2023 | December
2020 | June
2023",pip,https://datacatalog.worldbank.org/ | https://data.humdata.org/dataset/ | https://acleddata.com | https://microdata.worldbank.org/ | https://microdata.worldbank.org/index.php/ | https://yemen.yeti.acaps.org/ | https://yemen.yeti.acaps.org/api/ | https://dtm.iom.int/datasets/ | https://data.humdata.org/ | https://dataforgood.facebook.com/ | https://data.humdata.org/m/,False,
321_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and permission to
use the data used in this manuscript.",True,_data | archive/,1950-2023 | 1901-2023 | 1970-2025 | 1960-2023 | 2025 | 1950 | 2023 | 1901 | 1970 | 1960 | 2024,"World Bank | World
Development
Indicators | WDI | World Development Indicators | wdi",https://climateknowledgeportal.worldbank.org/ | https://datatopics.worldbank.org/worlddevelopment-indicators/wdi-archives.html | https://public.emdat.be/ | https://v-dem.net/data/dataset-archive/ | https://wbl.worldbank.org/en/wbl-data,False,
300_README.pdf,True,"We certify that the authors of the manuscript have legitimate access to and permission to
use the data used in this manuscript.",True,World Bank | Export_HS6.csv | Export_toEU_HS6.csv | Export_HS8_2005_2009.dta | Export_HS8_2010_2021.dta | DDT_DLTL_HS6.dta | DDT_HS8.dta | Exporter_transaction_2008_2021.dta | GDP.csv | GDPdeflator.dta | PAK_export_to_top20_all_08_10.csv | PAK_export_to_top20_all_11_15.csv | PAK_export_to_top20_all_16_19.csv | Top20imports_from_PAK_all_09_14.csv | Top20imports_from_PAK_all_15_19.csv,2008-2020 | 2005-2010 | 2015-2017 | 2018-2021 | May 2021 | April 2021 | August 2022 | 2007 | 2008 | 2020 | 2021 | 2005 | 2010 | 2015 | 2017,"Ministry of Commerce | Ministry of
Commerce | department of the | World Development Indicators | World Bank",https://wits.worldbank.org/WITS/WITS/Default-A.aspx?Page=Default | https://databank.worldbank.org/source/world-development-indicators,False,
317_README.pdf,False,,True,progress.dta | oduc.dta | monitoring.dta | eproduc.dta | 2122.csv | 2223.csv | 2022.xlsx | grade.dta | food.dta | G1-food-withopenemisid.dta | G2-food-withopenemisid.dta | G3-food-withopenemisid.dta | G4-food-withopenemisid.dta | G5-food-withopenemisid.dta | G6-food-withopenemisid.dta,"2021-
2022 | 2022-
2023 | 2022-2023 | September
2023 | June
2024 | August	2023 | June	2024 | August	2024 | 2023 | 2021 | 2022 | 2024","Ministry	of
Education",,False,
80_README.pdf,True,"We certify that the authors have legitimate access to and permission to use the data
used in this manuscript.",False,"List | on Revenue Administration (CIAT-IMF-IOTA-OECD, 2022) | on Digitalisation (Figures 2 and 3, Appendix Table 1), Lagos State Government statistical digests (Lagos State Government | copy used by the authors is included in | copy used by the authors is included | Survey | data collected from national | on Digitalisation | copies used by the authors is | manually entered | compiled by the authors is included in the replication directory in | WIID_30JUN2022_0.dta | 1_-12_.xlsx | DI1-TT7.xlsx | Lagos_total_tax_99_17.xlsx",2023 | 2022 | 2006 | 2010 | 2013 | 2020 | 2021 | 2017,World Bank | University of Pittsburgh | IMF | OECD | imf | oecd,http://doi.org/10.3886/E194822V1 | https://doi.org/10.35188/UNU-WIDER/GRD-2022 | https://doi.org/10.35188/UNU-WIDER/WIID-300622 | https://www.imf.org/en/Capacity | https://www.oecd.org/tax/forum-on-taxadministration/tax-technology-tools-and-digital-solutions/ | https://www.stata.com/products/ | https://data.rafit.org/?sk= | https://lagosstate.gov.ng/wp-content/uploads/ | https://mepb.lagosstate.gov.ng/wp-content/ | https://www.oecd.org/tax/forum-on-tax-administration/ | https://doi.org/10.35188/,False,
231_README.pdf,False,,True,"conducted prior to the | conducted just after the program ended, and an endline survey conducted | used to predict response rates to the SMS survey and compute weights | created in the course of analyzing the social network data | The Data folder contains all .dta | Full_withnetworks_annon.dta | IE_Attrition.dta | IE_SMS.dta | IE_SMS_Lassp.dta | IE_SMSFigure_Biweekly.dta | IE_Submission.dta | PB_order.dta | Photobook_order_annon.dta",2058,,https://doi.org/10.7910/DVN/9D7Z0W.,False,
168_README.pdf,False,,True,"separately | contains  PPP  conversion  factors  and | using international poverty lines | is  not | included  in  subfolder | documentation,  such  as | databases were accessed in August 2023 and are publicly | with  AI  exposure  scores  at  the  4-digit  ISCO-08 | is  named | to  estimate  poverty  using  international  poverty | included | to match AI exposure scores, by both 2digit ISCO-08 occupations and gender, with some SEDLAC countries | folder | with  4-digit  ISCO-08  information  (CHL,  DOM,  ECU,  HND,  PAN, | used to estimate the",2019-2021 | July 2024 | August 2023 | November  2023 | July  2024 | 2024 | 2023 | 2017 | 2022 | 2019 | 2021,"STATISTICS
file | World  Bank | STATISTICS on | oecd | OECD | WDI | statistics  on | IMF | imf | World Bank",https://pgmyrek.shinyapps.io/AI_Data_Portal_Research/ | https://www.oecd.org/en/about/programmes/piaac.html. | https://github.com/FabienPetitEconomics/TechXposure/tree/main/_isco | https://www.imf.org/en/Publications/Staff-DiscussionNotes/Issues/2024/01/14/Gen-AI-Artificial-Intelligence-and-the-Future-of-Work542379 | https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@dgreports/@inst/doc | https://www.fabienpetit.com/wp/PPLCC_EmploymentImpactEmergingDigitalTechnol,False,
238_README.pdf,False,,True,Folder to reproduce analysis from the two survey rounds | data | round at once (after changing | name | should be placed in the admin/data-raw folder | Data (First Round Interviews) | data from the first round of interviews (December 2021) | should be placed in the survey/data/raw folder | Data (Second Round Interviews) | data from the second round of interviews (May 2024) | should be placed in the admin/data-clean folder,January 2022 | March 2024 | December 2021 | May 2024 | 2022 | 2024 | 2021,National Bureau of Statistics,https://microdata.nbs.go.tz/index.php/home,False,
